OG_sentences,gen_sentences,cosine_similarity_BERT,jaccard_similarity_BERT
A group of kids is playing in a yard and an old man is standing in the background,band adult playing neighborhood elder man standing aftermath,0.4100898,0.5290217465824552
A group of boys in a yard is playing and a man is standing in the background,band adult neighborhood playing man standing aftermath,0.39548576,0.5341219758987427
A group of children is playing in the house and there is no man standing in the background,band adult playing residence man standing aftermath,0.25671375,0.5363314060064462
The young boys are playing outdoors and the man is smiling nearby,young adult playing uncover man joke neighbourhood,0.5449018,0.5238219060395893
The kids are playing outdoors near a man with a smile,adult playing uncover neighbourhood man joke,0.34649867,0.5021061511600718
There is no boy playing outdoors and there is no man smiling,boy playing uncover man joke,0.18945205,0.5453933407278622
A brown dog is attacking another animal in front of the tall man in pants,brown horse attack someone fish prioress long man garment,0.640259,0.48111958980560304
A brown dog is attacking another animal in front of the man in pants,brown horse attack someone fish prioress man garment,0.6817043,0.4787577857141909
A brown dog is helping another animal in front of the man in pants,brown horse support someone fish prioress man garment,0.6120947,0.47381173268608423
Two dogs are fighting,make cows fight,0.53468263,0.38847706999097553
Two dogs are wrestling and hugging,make cows fight pitching,0.42247683,0.4181510697711598
There is no dog wrestling and hugging,horse fight pitching,0.20107612,0.4908614158630371
A person in a black jacket is doing tricks on a motorbike,someone brown jacket joke automobile,0.47215587,0.5646789305739932
A man in a black jacket is doing tricks on a motorbike,man brown jacket joke automobile,0.51242137,0.5546486874421438
There is no man in a black jacket doing tricks on a motorbike,man brown jacket joke automobile,0.24443589,0.5560474646718878
A person on a black motorbike is doing tricks with a jacket,someone brown automobile joke jacket,0.52569085,0.555382016632292
A skilled person is riding a bicycle on one wheel,specialist someone horse automobile someone horse,0.3658437,0.41318363696336746
A person is riding the bicycle on one wheel,someone horse automobile someone horse,0.40500247,0.3845099593911852
Nobody is riding the bicycle on one wheel,someone horse automobile someone horse,0.23687217,0.3872999915709862
A man with a jersey is dunking the ball at a basketball game,man garment pitching gun cupboard playing,0.5055889,0.47347613743373324
The ball is being dunked by a man with a jersey at a basketball game,gun being fell man garment cupboard playing,0.4240786,0.4999527782201767
There is no man dunking the ball at a basketball game,man pitching gun cupboard playing,0.2517644,0.4666890071498023
The game of basketball consists of a ball being dunked by a man with a jersey,playing cupboard incorporate gun being fell man garment,0.39941508,0.49122726688018215
A man who is playing dunks the basketball into the net and a crowd is in background,man playing thrashing cupboard straight crowd aftermath,0.5240336,0.5029053482516058
The player is dunking the basketball into the net and a crowd is in background,performer pitching cupboard straight crowd aftermath,0.24817488,0.4952167098720868
The player is missing the basket and a crowd is in background,performer fell cupboard crowd aftermath,0.5608407,0.5116269212020071
Two people are kickboxing and spectators are watching,make someone pitching visualize visualize,0.20854041,0.4193422238032023
Two people are fighting and spectators are watching,make someone fight visualize visualize,0.7602805,0.42387600030217853
Two people are kickboxing and spectators are not watching,make someone pitching visualize visualize,0.12790513,0.43589990213513374
Two spectators are kickboxing and some people are watching,make visualize pitching someone visualize,0.1739816,0.43170279636979103
Two young women are sparring in a kickboxing fight,make young troops fight pitching fight,0.4848428,0.42825115472078323
Two women are sparring in a kickboxing match,make troops fight pitching adapt,0.29712456,0.3563740147011621
Two young women are not sparring in a kickboxing fight,make young troops fight pitching fight,0.29087994,0.4485099806505091
Kids in red shirts are playing in the leaves,adult brown clothing playing paper,0.3116985,0.46466455289295744
Children in red shirts are playing in the leaves,adult brown clothing playing paper,0.3096373,0.47106124247823444
Children in red shirts are sleeping in the leaves,adult brown clothing singing paper,0.35157055,0.4431281345231192
Children covered by leaves are playing with red shirts,adult coat paper playing brown clothing,0.26038507,0.4627771218617757
Three boys are jumping in the leaves,mart adult pitching paper,0.08485426,0.38690241358496924
Three kids are jumping in the leaves,mart adult pitching paper,0.07111468,0.37015651030973956
Three kids are sitting in the leaves,mart adult sit paper,0.28837565,0.37727309357036243
Two children are lying in the snow and are drawing angels,make adult mistake rainfall painting devote,0.15459238,0.37157463086278814
Two children are lying in the snow and are making snow angels,make adult mistake rainfall make rainfall devote,0.16139904,0.3612505251711065
There is no child lying in the snow and making snow angels,adult mistake rainfall make rainfall devote,0.31118417,0.42170839650290354
Two angels are making snow on the lying children,make devote make rainfall mistake adult,0.25866538,0.3751814049832961
Two people wearing snowsuits are on the ground making snow angels,make someone garment clothing landing make rainfall devote,0.20328519,0.4020928248115208
Two people in snowsuits are lying in the snow and making snow angels,make someone clothing mistake rainfall make rainfall devote,0.14237681,0.4032456920697139
Nobody in snowsuits is lying in the snow and making snow angels,someone clothing mistake rainfall make rainfall devote,0.20552583,0.447560578584671
A little girl is looking at a woman in costume,decrease room looking someone dress,0.3665815,0.4684198300043742
A young girl is looking at a woman in costume,young room looking someone dress,0.6026726,0.5223660469055176
The little girl is looking at a man in costume,decrease room looking man dress,0.31593704,0.5045406858126322
A little girl in costume looks like a woman,decrease room dress visualize tend someone,0.35831124,0.40435549020767214
People wearing costumes are gathering in a forest and are looking in the same direction,crowd garment clothing gathering hunt looking directness,0.5195018,0.4948319715002309
Masked people are looking in the same direction in a forest,hide someone looking directness hunt,0.49797684,0.4833562175432841
People wearing costumes are scattering in a forest and are looking in different directions,crowd garment clothing disperse hunt looking vary indication,0.6112938,0.4828612431883812
People are looking at some costumes gathered in the vicinity of the forest,crowd looking clothing crowd vicinity hunt,0.64792895,0.5018655884833563
A lone biker is jumping in the air,someone runner pitching fly,0.2841583,0.49845542510350543
"A biker is jumping in the air, alone",runner pitching fly someone,0.27550623,0.5109378099441528
There is no biker jumping in the air,runner pitching fly,0.115727305,0.5320405472408641
A man is jumping into an empty swimming pool,man pitching fill flowing vessel,0.36128062,0.47450562034334454
A man is jumping into an empty pool,man pitching fill vessel,0.33737987,0.4826996525128682
A man is jumping into a full pool,man pitching fill vessel,0.4454179,0.4828534821669261
The man's jumper is in the empty pool,someone runner fill vessel,0.1394165,0.49578799520220074
Four kids are doing backbends in the park,furl adult rebound stadium,0.120662436,0.37688019275665285
Four children are doing backbends in the park,furl adult rebound stadium,0.10960415,0.38719653685887656
Four children are doing backbends in the gym,furl adult rebound stadium,0.0943365,0.4066786766052246
Four girls are doing backbends and playing in the garden,furl room rebound playing stadium,0.2857859,0.3969937794738346
Four girls are doing backbends and playing outdoors,furl room rebound playing uncover,0.25502598,0.40196920186281204
Four girls are doing backbends and playing indoors,furl room rebound playing room,0.3278234,0.38347554206848145
A man who is playing is running with the ball in his hands,man playing running gun handgun,0.63005733,0.5731393224314639
A player is running with the ball,performer running gun,0.756131,0.45885886549949645
A player is throwing the ball,performer pitching gun,0.61041385,0.4243703948126899
