OG_sentences,gen_sentences,cosine_similarity_BERT,jaccard_similarity_BERT
A group of kids is playing in a yard and an old man is standing in the background,gang offspring game pavement ancestor man standing foundation,0.40828973,0.45187643766403196
A group of boys in a yard is playing and a man is standing in the background,gang offspring pavement game man standing foundation,0.5220323,0.4890100955963135
A group of children is playing in the house and there is no man standing in the background,gang offspring game house man standing foundation,0.33880508,0.5353716886960543
The young boys are playing outdoors and the man is smiling nearby,young offspring game open man smile environment,0.7836926,0.4827647179365158
The kids are playing outdoors near a man with a smile,offspring game open approach man smile,0.70409834,0.48588664333025616
There is no boy playing outdoors and there is no man smiling,boy game open man smile,0.1441029,0.5100778165985557
A brown dog is attacking another animal in front of the tall man in pants,color pet strike someone animal forepart ascendancy man garment,0.49677324,0.4395653009414673
A brown dog is attacking another animal in front of the man in pants,color pet strike someone animal forepart man garment,0.5808866,0.48131894028705097
A brown dog is helping another animal in front of the man in pants,color pet assist someone animal forepart man garment,0.63736105,0.4916130433911863
Two dogs are fighting,two pet compete,0.5126802,0.46070254700524466
Two dogs are wrestling and hugging,two pet compete enclosing,0.5772028,0.432684063911438
There is no dog wrestling and hugging,pet compete enclosing,0.16450039,0.4443253003633939
A person in a black jacket is doing tricks on a motorbike,someone color jacket entice bike,0.59961736,0.535395716366015
A man in a black jacket is doing tricks on a motorbike,man color jacket entice bike,0.68234444,0.5400382405833194
There is no man in a black jacket doing tricks on a motorbike,man color jacket entice bike,0.26606244,0.5382742881774902
A person on a black motorbike is doing tricks with a jacket,someone color bike entice jacket,0.6445513,0.5292275516610396
A skilled person is riding a bicycle on one wheel,ability someone bike bike someone bike,0.84203273,0.4550856798887253
A person is riding the bicycle on one wheel,someone bike bike someone bike,0.81673396,0.4637989912714277
Nobody is riding the bicycle on one wheel,somebody bike bike someone bike,0.51223075,0.4604238776060251
A man with a jersey is dunking the ball at a basketball game,man garment indulging gun bike game,0.42164063,0.47051613955270677
The ball is being dunked by a man with a jersey at a basketball game,gun being drop man garment bike game,0.31508115,0.5153777288353961
There is no man dunking the ball at a basketball game,man indulging gun bike game,0.23065554,0.462983853287167
The game of basketball consists of a ball being dunked by a man with a jersey,game bike component gun being drop man garment,0.33720106,0.48983129739761355
A man who is playing dunks the basketball into the net and a crowd is in background,man game drop bike direct folk foundation,0.1456645,0.5023744606971741
The player is dunking the basketball into the net and a crowd is in background,game indulging bike direct folk foundation,-0.032545358,0.4717546390450519
The player is missing the basket and a crowd is in background,game lack container folk foundation,0.5424532,0.5565706316162559
Two people are kickboxing and spectators are watching,two folk fishing audience visualize,0.14470243,0.49479390382766725
Two people are fighting and spectators are watching,two folk compete audience visualize,0.4478885,0.5319072774478367
Two people are kickboxing and spectators are not watching,two folk fishing audience visualize,0.109832585,0.5029175579547882
Two spectators are kickboxing and some people are watching,two audience fishing folk visualize,0.23418188,0.5036153718829155
Two young women are sparring in a kickboxing fight,two young folk compete fishing compete,0.29817012,0.4631374888122082
Two women are sparring in a kickboxing match,two folk compete fishing compete,0.27297938,0.44081433756010874
Two young women are not sparring in a kickboxing fight,two young folk compete fishing compete,0.18473555,0.4722345436320585
Kids in red shirts are playing in the leaves,offspring color apparel game leave,0.36351413,0.4138783057530721
Children in red shirts are playing in the leaves,offspring color apparel game leave,0.3591997,0.4205466747283936
Children in red shirts are sleeping in the leaves,offspring color apparel bed leave,0.2689737,0.42418590386708577
Children covered by leaves are playing with red shirts,offspring enclosing leave game color apparel,0.38666815,0.3718319667710198
Three boys are jumping in the leaves,two offspring jump leave,0.47995883,0.409037967522939
Three kids are jumping in the leaves,two offspring jump leave,0.5762354,0.4155246665080388
Three kids are sitting in the leaves,two offspring bed leave,0.33422786,0.3756718585888545
Two children are lying in the snow and are drawing angels,two offspring pretending cold depicting deviltry,0.22560039,0.4132755540666126
Two children are lying in the snow and are making snow angels,two offspring pretending cold giving cold deviltry,0.22563547,0.4277443831617182
There is no child lying in the snow and making snow angels,offspring pretending cold giving cold deviltry,0.18591021,0.4312873766535804
Two angels are making snow on the lying children,two deviltry giving cold pretending offspring,0.4103555,0.41272015704049003
Two people wearing snowsuits are on the ground making snow angels,two folk wear apparel country giving cold deviltry,0.2635961,0.47046100009571423
Two people in snowsuits are lying in the snow and making snow angels,two folk apparel pretending cold giving cold deviltry,0.22040558,0.46803617000579834
Nobody in snowsuits is lying in the snow and making snow angels,somebody apparel pretending cold giving cold deviltry,0.16379903,0.4707506273103797
A little girl is looking at a woman in costume,bit student looking someone garment,0.43862933,0.504721728960673
A young girl is looking at a woman in costume,young student looking someone garment,0.5307873,0.5265650351842245
The little girl is looking at a man in costume,bit student looking man garment,0.34429806,0.5527206261952718
A little girl in costume looks like a woman,bit student garment visualize like someone,0.5443336,0.44184640248616536
People wearing costumes are gathering in a forest and are looking in the same direction,folk wear apparel gathering bush looking heading,0.7531873,0.5460268421606584
Masked people are looking in the same direction in a forest,concealing folk looking heading bush,0.690104,0.4937872667061655
People wearing costumes are scattering in a forest and are looking in different directions,folk wear apparel spreading bush looking variety route,0.65084106,0.5260779753975247
People are looking at some costumes gathered in the vicinity of the forest,folk looking apparel conglomerate vicinity bush,0.6688671,0.4738030537315037
A lone biker is jumping in the air,quiet bike jump air,0.6956976,0.5379188110431036
"A biker is jumping in the air, alone",bike jump air whole,0.7274806,0.5500422120094299
There is no biker jumping in the air,bike jump air,0.368761,0.5709102749824524
A man is jumping into an empty swimming pool,man jump open fishing shower,0.69331145,0.49725569571767536
A man is jumping into an empty pool,man jump open shower,0.6606627,0.5124388486146927
A man is jumping into a full pool,man jump whole shower,0.8710184,0.5544390082359314
The man's jumper is in the empty pool,someone jump open shower,0.30832583,0.47990304231643677
Four kids are doing backbends in the park,two offspring postponement stadium,0.18818654,0.3533550255438861
Four children are doing backbends in the park,two offspring postponement stadium,0.17920735,0.3630900979042053
Four children are doing backbends in the gym,two offspring postponement stadium,0.108611375,0.37839369212879853
Four girls are doing backbends and playing in the garden,two offspring postponement game balcony,0.0957233,0.3874864041805267
Four girls are doing backbends and playing outdoors,two offspring postponement game open,0.07924007,0.3544168174266815
Four girls are doing backbends and playing indoors,two offspring postponement game entryway,0.081738494,0.3461864371048777
A man who is playing is running with the ball in his hands,man game running gun holding,0.7994232,0.5794731676578522
A player is running with the ball,game running gun,0.70978695,0.4493289291858673
A player is throwing the ball,game expelling gun,0.4574339,0.367763364315033
Two groups of people are playing football,two gang folk game game,0.27667284,0.3972156047821045
Two teams are competing in a football match,two squad compete game compete,0.6032976,0.4773055681815514
Two teams are competing in a baseball game,two squad compete bush game,0.36995474,0.4747631733234112
Football is being played by two competing teams,financier being game two compete squad,0.4940593,0.4283541909285954
Five children are standing in front of a wooden hut,pet offspring standing forepart bush house,0.45127332,0.38452842169337803
Five children are standing in front of a hut made of wood,pet offspring standing forepart house cause bush,0.45325947,0.39931476683843703
Five children are standing in a wooden hut,pet offspring standing bush house,0.52580583,0.3872421213558742
Five wooden stands are in front of each child's hut,pet bush abide forepart offspring house,0.31409952,0.40885297656059266
Five kids are standing close together and one kid has a gun,pet offspring standing closing unify someone bit gun,0.32577282,0.3794769834388386
Five kids are standing close together and one kid has a weapon,pet offspring standing closing unify someone bit gun,0.23964804,0.3831383667208932
Five kids are standing close together and none of the kids has a gun,pet offspring standing closing unify somebody offspring gun,0.19794662,0.3799702000617981
An old man is sitting in a field,ancestor man bed sector,0.3773608,0.37709455830710276
A man is sitting in a field,man bed sector,0.38976634,0.42584649920463563
A man is running in a field,man running sector,0.8288664,0.5151796042919159
A person is wearing a hat and is sitting on the grass,someone wear cape bed bush,0.5971854,0.5335162737790276
A person is sitting in a field and is wearing a hat,someone bed sector wear cape,0.46601117,0.4965861965628231
There is no person wearing a hat and sitting on the grass,someone wear cape bed bush,0.22621161,0.5218922951642204
A person is sitting and wearing a grass hat,someone bed wear bush cape,0.5414713,0.49161021198545185
The current is being ridden by a group of friends in a raft,current being run gang acquaint grate,0.29369766,0.5535123433385577
A group of friends are riding the current in a raft,gang acquaint bike current grate,0.44978383,0.47747543629478006
A group is not riding the current in a raft,gang bike current grate,0.41686806,0.5065910305295672
This group of people is practicing water safety and wearing preservers,gang folk accustom wetter secure wear save,0.49337244,0.45428372323513033
Preservers are being worn by a group of people who are practicing water safety,save being wear gang folk accustom wetter secure,0.37696186,0.5304293632507324
Nobody is practicing water safety and wearing preservers,somebody accustom wetter secure wear save,0.18416959,0.4604254178702831
A deer is jumping over a fence,goat jump roof,0.5591762,0.5354722201824188
A deer is jumping over the enclosure,goat jump enclosing,0.595425,0.48855384190877277
A deer isn't jumping over the fence,goat jump roof,0.34141672,0.5486030330260595
A wild deer is jumping a fence,animal goat jump roof,0.55549955,0.4992364699190313
A deer is jumping a fence,goat jump roof,0.58630073,0.5428069432576498
There is no deer jumping fences,goat jump roof,0.33374527,0.52229323387146
People are walking outside a building that has many murals on it,folk wandering leave house whole roof,0.372333,0.49757771429262665
People are walking outside the building that has several murals on it,folk wandering leave house somebody roof,0.40795213,0.5048356746372423
People are walking inside a building that has many murals on it,folk wandering entryway house whole roof,0.41514283,0.4628923386335373
Several people are in front of a building which is covered by colors,variety folk forepart house enclosing color,0.57532746,0.4391599785197865
Several people are in front of a colorful building,variety folk forepart color house,0.4001254,0.4075040260950724
Nobody is in front of the colorful building,somebody forepart color house,0.1591227,0.46252466165102446
A boy is hitting a baseball,boy strike bush,0.37176275,0.5299026237593757
A child is hitting a baseball,offspring strike bush,0.29751164,0.38877771496772767
A child is missing a baseball,offspring lack bush,0.6515447,0.4321563243865967
A family is watching a little boy who is hitting a baseball,family visualize bit boy strike bush,0.4555408,0.5365869171089597
A family is watching a boy who is hitting a baseball,family visualize boy strike bush,0.46276146,0.5525327697396278
A family is watching a little boy who is missing a baseball,family visualize bit boy lack bush,0.681182,0.553183204597897
A little boy is watching a family that is hitting a baseball,bit boy visualize family strike bush,0.464,0.5591962734858195
A large group of Asian people is eating at a restaurant,whole gang ocean folk eating restaurant,0.7667678,0.44527209506315346
A group of people from Asia is eating at a restaurant,gang folk ocean eating restaurant,0.7657998,0.47224993631243706
A small group of people is waiting to eat in a restaurant,bit gang folk hope eat restaurant,0.7285456,0.5296327239937253
A group of people in a large Asian restaurant is eating,gang folk whole ocean restaurant eating,0.75419027,0.4492067484294667
Various people are eating at red tables in a crowded restaurant with purple lights,variety folk eating color page folk restaurant color fire,0.65687364,0.42724990585575934
