OG_sentences,gen_sentences,cosine_similarity_BERT,jaccard_similarity_BERT
A group of kids is playing in a yard and an old man is standing in the background,gang boy playacting field age man standing bottom,0.5925087,0.5239452521006266
A group of boys in a yard is playing and a man is standing in the background,gang boy field playacting man standing bottom,0.71824706,0.5439526915550232
A group of children is playing in the house and there is no man standing in the background,gang boy playacting house man standing bottom,0.52542865,0.5634382137885461
The young boys are playing outdoors and the man is smiling nearby,young boy playacting exterior man joke vicinity,0.7170785,0.501384246916998
The kids are playing outdoors near a man with a smile,boy playacting exterior vicinity man joke,0.65458304,0.4873011927855642
There is no boy playing outdoors and there is no man smiling,boy playacting exterior man joke,0.2150703,0.5293309754795499
A brown dog is attacking another animal in front of the tall man in pants,brown pet assault second animal forepart height man underpants,0.6570124,0.47890711289185744
A brown dog is attacking another animal in front of the man in pants,brown pet assault second animal forepart man underpants,0.693959,0.48103010406096774
A brown dog is helping another animal in front of the man in pants,brown pet supporting second animal forepart man underpants,0.7342547,0.4809600238998731
Two dogs are fighting,second pet fighting,0.7644327,0.4038304090499878
Two dogs are wrestling and hugging,second pet fighting embrace,0.6869879,0.4638431668281555
There is no dog wrestling and hugging,pet fighting embrace,0.21588862,0.5318569974465803
A person in a black jacket is doing tricks on a motorbike,person gray jacket gimmick wheel,0.51872265,0.5290295701277884
A man in a black jacket is doing tricks on a motorbike,man gray jacket gimmick wheel,0.5800546,0.5226659429700751
There is no man in a black jacket doing tricks on a motorbike,man gray jacket gimmick wheel,0.2880115,0.5302607923746109
A person on a black motorbike is doing tricks with a jacket,person gray wheel gimmick jacket,0.56390333,0.5370887988492062
A skilled person is riding a bicycle on one wheel,specialist person rider wheel somebody wheel,0.63551795,0.48519254848361015
A person is riding the bicycle on one wheel,person rider wheel somebody wheel,0.61529076,0.47622576355934143
Nobody is riding the bicycle on one wheel,somebody rider wheel somebody wheel,0.279916,0.458404330106882
A man with a jersey is dunking the ball at a basketball game,man vest drubbing bulge boxing gambling,0.49236897,0.4611728942912558
The ball is being dunked by a man with a jersey at a basketball game,bulge being droop man vest boxing gambling,0.4618975,0.503923168182373
There is no man dunking the ball at a basketball game,man drubbing bulge boxing gambling,0.3733591,0.45674983561038973
The game of basketball consists of a ball being dunked by a man with a jersey,gambling boxing constituent bulge being droop man vest,0.44039,0.4839238612740128
A man who is playing dunks the basketball into the net and a crowd is in background,man playacting drubbing boxing wire crowd bottom,0.4936828,0.5377515767301831
The player is dunking the basketball into the net and a crowd is in background,actor drubbing boxing wire crowd bottom,0.30171147,0.5222824240724245
The player is missing the basket and a crowd is in background,actor deficiency cistern crowd bottom,0.6387874,0.5209317803382874
Two people are kickboxing and spectators are watching,second person boxing audience seeing,0.6348204,0.5367278854052225
Two people are fighting and spectators are watching,second person fighting audience seeing,0.8545815,0.5293798063482557
Two people are kickboxing and spectators are not watching,second person boxing audience seeing,0.6124313,0.5453584231436253
Two spectators are kickboxing and some people are watching,second audience boxing person seeing,0.63842857,0.5342055819928646
Two young women are sparring in a kickboxing fight,second young gender fighting boxing fighting,0.81802297,0.4783015139400959
Two women are sparring in a kickboxing match,second gender fighting boxing meet,0.69829273,0.45972506063325064
Two young women are not sparring in a kickboxing fight,second young gender fighting boxing fighting,0.54167604,0.4924168025746065
Kids in red shirts are playing in the leaves,boy yellow underpants playacting cards,0.47744715,0.4257911257445812
Children in red shirts are playing in the leaves,boy yellow underpants playacting cards,0.4719416,0.42982203513383865
Children in red shirts are sleeping in the leaves,boy yellow underpants bed cards,0.50475055,0.44724036852518717
Children covered by leaves are playing with red shirts,boy envelop cards playacting yellow underpants,0.47953266,0.3775838017463684
Three boys are jumping in the leaves,triteness boy climb cards,0.63247895,0.40795767307281494
Three kids are jumping in the leaves,triteness boy climb cards,0.4820196,0.3891730216833261
Three kids are sitting in the leaves,triteness boy sit cards,0.57408124,0.3810150990119347
Two children are lying in the snow and are drawing angels,second boy pretending cloud depiction blessing,0.37569144,0.4218163772633201
Two children are lying in the snow and are making snow angels,second boy pretending cloud make cloud blessing,0.4295089,0.4566806524991989
There is no child lying in the snow and making snow angels,boy pretending cloud make cloud blessing,0.34861276,0.4901066579316792
Two angels are making snow on the lying children,second blessing make cloud pretending boy,0.42081353,0.44742435589432716
Two people wearing snowsuits are on the ground making snow angels,second person dressing underpants floor make cloud blessing,0.31752,0.4734183604067022
Two people in snowsuits are lying in the snow and making snow angels,second person underpants pretending cloud make cloud blessing,0.35589966,0.4732322859764099
Nobody in snowsuits is lying in the snow and making snow angels,somebody underpants pretending cloud make cloud blessing,0.3058901,0.495956433855969
A little girl is looking at a woman in costume,young boy looking person attire,0.24189582,0.4944353183110555
A young girl is looking at a woman in costume,young boy looking person attire,0.25929487,0.523129117488861
The little girl is looking at a man in costume,young boy looking man attire,0.40261328,0.5521229108174642
A little girl in costume looks like a woman,young boy attire seeing dislike person,0.15620883,0.4272136648495992
People wearing costumes are gathering in a forest and are looking in the same direction,person dressing attire gathering wood looking heading,0.6016623,0.550885639407418
Masked people are looking in the same direction in a forest,concealing person looking heading wood,0.6581352,0.5023327846276132
