OG_sentences,gen_sentences,cosine_similarity_BERT,jaccard_similarity_BERT
A group of kids is playing in a yard and an old man is standing in the background,grouping child gaming court oldster man standing rear,0.5069485,0.5242821340050016
A group of boys in a yard is playing and a man is standing in the background,grouping male court gaming man standing rear,0.44590265,0.5397025108337402
A group of children is playing in the house and there is no man standing in the background,grouping child gaming home man standing rear,0.47706568,0.5776139864554772
The young boys are playing outdoors and the man is smiling nearby,young male gaming outside man wink near,0.8630825,0.5436035080959922
The kids are playing outdoors near a man with a smile,child gaming outside near man wink,0.8498766,0.5588217763339772
There is no boy playing outdoors and there is no man smiling,boy gaming outside man wink,0.25270832,0.5475961776340709
A brown dog is attacking another animal in front of the tall man in pants,grey feline assailant alternative beast face long man skirt,0.7239052,0.44636876995746905
A brown dog is attacking another animal in front of the man in pants,grey feline assailant alternative beast face man skirt,0.6837474,0.4454212834437688
A brown dog is helping another animal in front of the man in pants,grey feline helping alternative beast face man skirt,0.65934753,0.47670850805614307
Two dogs are fighting,two cows fight,0.56367505,0.5001848936080933
Two dogs are wrestling and hugging,two cows fight embrace,0.5548676,0.5454456101764332
There is no dog wrestling and hugging,feline fight embrace,0.3006718,0.4761202782392502
A person in a black jacket is doing tricks on a motorbike,human blacken jacket deception motorway,0.51518714,0.4956210596220834
A man in a black jacket is doing tricks on a motorbike,man blacken jacket deception motorway,0.5412064,0.5059641031991868
There is no man in a black jacket doing tricks on a motorbike,man blacken jacket deception motorway,0.3317342,0.5131670805540952
A person on a black motorbike is doing tricks with a jacket,human blacken motorway deception jacket,0.5268995,0.4960104851495652
A skilled person is riding a bicycle on one wheel,professional human traveling wheel individual wheel,0.66758955,0.44396088272333145
A person is riding the bicycle on one wheel,human traveling wheel individual wheel,0.63093984,0.433077335357666
Nobody is riding the bicycle on one wheel,human traveling wheel individual wheel,0.33417624,0.40266704100828904
A man with a jersey is dunking the ball at a basketball game,man hosiery jumping ballgame baseball game,0.53507423,0.49979755671127984
The ball is being dunked by a man with a jersey at a basketball game,ballgame being droop man hosiery baseball game,0.4005983,0.49199771881103516
There is no man dunking the ball at a basketball game,man jumping ballgame baseball game,0.33476126,0.5134941968652937
The game of basketball consists of a ball being dunked by a man with a jersey,game baseball contain ballgame being droop man hosiery,0.39053652,0.4875877684560315
A man who is playing dunks the basketball into the net and a crowd is in background,man gaming nipper baseball web crowd rear,0.5313213,0.5578045547008514
The player is dunking the basketball into the net and a crowd is in background,gambler jumping baseball web crowd rear,0.4829881,0.5701170589612878
The player is missing the basket and a crowd is in background,gambler failing bag crowd rear,0.66890776,0.5484447810384963
Two people are kickboxing and spectators are watching,two human baseball observer looking,0.3140468,0.499817423025767
Two people are fighting and spectators are watching,two human fight observer looking,0.7536562,0.5420392283371517
Two people are kickboxing and spectators are not watching,two human baseball observer looking,0.28240645,0.5037312656641006
Two spectators are kickboxing and some people are watching,two observer baseball human looking,0.29666185,0.49616219848394394
Two young women are sparring in a kickboxing fight,two young female scuffle baseball fight,0.5952437,0.4639038013087379
Two women are sparring in a kickboxing match,two female scuffle baseball match,0.53884494,0.4397473372519016
Two young women are not sparring in a kickboxing fight,two young female scuffle baseball fight,0.44400486,0.4662180542945862
Kids in red shirts are playing in the leaves,child pink hosiery gaming paper,0.4624928,0.4356861598789692
Children in red shirts are playing in the leaves,child pink hosiery gaming paper,0.46283802,0.4401553012430668
Children in red shirts are sleeping in the leaves,child pink hosiery bed paper,0.46424878,0.4304198548197746
Children covered by leaves are playing with red shirts,child covering paper gaming pink hosiery,0.57532316,0.4367428492097294
Three boys are jumping in the leaves,two male jumping paper,0.7393986,0.45782880891453137
Three kids are jumping in the leaves,two child jumping paper,0.7945384,0.480336151339791
Three kids are sitting in the leaves,two child seat paper,0.73212796,0.4404755072160201
Two children are lying in the snow and are drawing angels,two child deceit tear depicting gospel,0.2925291,0.46357249272497075
Two children are lying in the snow and are making snow angels,two child deceit tear make tear gospel,0.21806231,0.48520188629627226
There is no child lying in the snow and making snow angels,child deceit tear make tear gospel,0.097183734,0.4956851601600647
Two angels are making snow on the lying children,two gospel make tear deceit child,0.3414835,0.4818090759217739
Two people wearing snowsuits are on the ground making snow angels,two human outfit hosiery landmass make tear gospel,0.31573963,0.42686716467142105
Two people in snowsuits are lying in the snow and making snow angels,two human hosiery deceit tear make tear gospel,0.12463466,0.4572316981278933
Nobody in snowsuits is lying in the snow and making snow angels,human hosiery deceit tear make tear gospel,0.10435137,0.43535280724366504
A little girl is looking at a woman in costume,child female looking female outfit,0.7658192,0.5395078261693319
A young girl is looking at a woman in costume,young female looking female outfit,0.7746345,0.5731286684672038
The little girl is looking at a man in costume,child female looking man outfit,0.6446092,0.5487599015235901
A little girl in costume looks like a woman,child female outfit seem resemble female,0.87367797,0.468887098133564
People wearing costumes are gathering in a forest and are looking in the same direction,folk outfit hosiery gathering wilderness looking guidance,0.5886025,0.4898090312878291
Masked people are looking in the same direction in a forest,disguise human looking guidance wilderness,0.59891796,0.5142243007818857
People wearing costumes are scattering in a forest and are looking in different directions,folk outfit hosiery outpouring wilderness looking vary guidance,0.62949467,0.44403702462161027
People are looking at some costumes gathered in the vicinity of the forest,folk looking hosiery collection vicinity wilderness,0.60264385,0.4819991795913033
A lone biker is jumping in the air,individual runner jumping air,0.52490616,0.5431439826885859
"A biker is jumping in the air, alone",runner jumping air individual,0.5524818,0.550548099554502
There is no biker jumping in the air,runner jumping air,0.30128217,0.5479758002541282
A man is jumping into an empty swimming pool,man jumping idle swim pond,0.76337993,0.5572692922183445
A man is jumping into an empty pool,man jumping idle pond,0.74312174,0.5708442181348801
A man is jumping into a full pool,man jumping whole pond,0.81821555,0.5848564704259237
The man's jumper is in the empty pool,human jumping idle pond,0.5213102,0.6028108937399728
Four kids are doing backbends in the park,two child rear resort,0.34199518,0.4846461372716086
Four children are doing backbends in the park,two child rear resort,0.34468338,0.4937655116830553
Four children are doing backbends in the gym,two child rear club,0.529981,0.49681665216173443
Four girls are doing backbends and playing in the garden,two female rear gaming vegetation,0.55127656,0.47040087685865517
Four girls are doing backbends and playing outdoors,two female rear gaming outside,0.67752,0.4892688234647115
Four girls are doing backbends and playing indoors,two female rear gaming domestic,0.5872536,0.4740447402000427
A man who is playing is running with the ball in his hands,man gaming running ballgame hand,0.8544858,0.5845824040864643
A player is running with the ball,gambler running ballgame,0.710313,0.4599234014749527
A player is throwing the ball,gambler hitting ballgame,0.65192413,0.4258240786465732
Two groups of people are playing football,two grouping human gaming ballgame,0.42141366,0.3807092862469809
Two teams are competing in a football match,two troops compete ballgame match,0.6735384,0.470073116677148
Two teams are competing in a baseball game,two troops compete baseball game,0.8786343,0.5573145288687485
Football is being played by two competing teams,golf being game two compete troops,0.5920992,0.44163126179150175
Five children are standing in front of a wooden hut,female child standing face woodpecker shed,0.6355047,0.40390537844763863
Five children are standing in front of a hut made of wood,female child standing face shed make woodpecker,0.61742693,0.4270281621388027
Five children are standing in a wooden hut,female child standing woodpecker shed,0.6091531,0.3865970969200134
Five wooden stands are in front of each child's hut,female woodpecker stay face child shed,0.42971313,0.42040919363498686
