OG_sentences,gen_sentences,cosine_similarity_BERT,jaccard_similarity_BERT
A group of kids is playing in a yard and an old man is standing in the background,pair first talking board first man standing backlash,0.26270866,0.43885517341119273
A group of boys in a yard is playing and a man is standing in the background,pair pair board talking man standing backlash,0.3429035,0.4721288323402405
A group of children is playing in the house and there is no man standing in the background,pair first talking eatery man standing backlash,0.13758549,0.45029361821987013
The young boys are playing outdoors and the man is smiling nearby,young pair talking face man face present,0.48115748,0.4411967302623548
The kids are playing outdoors near a man with a smile,first talking face present man face,0.24295646,0.38396089918473186
There is no boy playing outdoors and there is no man smiling,boy talking face man face,0.1320229,0.4410114393514745
A brown dog is attacking another animal in front of the tall man in pants,blue fox pushing first eatery face dark man attire,0.48930663,0.4510860061645508
A brown dog is attacking another animal in front of the man in pants,blue fox pushing first eatery face man attire,0.4285754,0.44830778889034106
A brown dog is helping another animal in front of the man in pants,blue fox favor first eatery face man attire,0.38039565,0.4310603737831116
Two dogs are fighting,pair fox talking,0.29462516,0.32539568628583637
Two dogs are wrestling and hugging,pair fox effort pushing,0.34837896,0.3810508738864552
There is no dog wrestling and hugging,fox effort pushing,0.14214581,0.4561538587916981
A person in a black jacket is doing tricks on a motorbike,face dark jacket mastery route,0.40817463,0.5019630946611103
A man in a black jacket is doing tricks on a motorbike,man dark jacket mastery route,0.51418614,0.521601422836906
There is no man in a black jacket doing tricks on a motorbike,man dark jacket mastery route,0.2783812,0.523232814669609
A person on a black motorbike is doing tricks with a jacket,face dark route mastery jacket,0.48470142,0.5053765961998388
A skilled person is riding a bicycle on one wheel,mastery face ceding route first route,0.27655324,0.29131362173292374
A person is riding the bicycle on one wheel,face ceding route first route,0.19820185,0.2549859325091044
Nobody is riding the bicycle on one wheel,first ceding route first route,0.13267435,0.26463282321180615
A man with a jersey is dunking the ball at a basketball game,man attire pushing board bank part,0.44970214,0.4530684441328049
The ball is being dunked by a man with a jersey at a basketball game,board being pushing man attire bank part,0.43222123,0.4897129069203916
There is no man dunking the ball at a basketball game,man pushing board bank part,0.23219563,0.45315376800649304
The game of basketball consists of a ball being dunked by a man with a jersey,part bank state board being pushing man attire,0.4315433,0.48050622701644896
A man who is playing dunks the basketball into the net and a crowd is in background,man talking pushing bank market confusion backlash,0.40406173,0.5270946232172159
The player is dunking the basketball into the net and a crowd is in background,supporter pushing bank market confusion backlash,0.22980088,0.5106986424197322
The player is missing the basket and a crowd is in background,supporter hiding board confusion backlash,0.46128982,0.5176531175772349
Two people are kickboxing and spectators are watching,pair face backlash supporter wait,0.3419444,0.38518018275499344
Two people are fighting and spectators are watching,pair face talking supporter wait,0.34793383,0.42820450237819124
Two people are kickboxing and spectators are not watching,pair face backlash supporter wait,0.35878748,0.3925705306670245
Two spectators are kickboxing and some people are watching,pair supporter backlash face wait,0.31926253,0.394223854822271
Two young women are sparring in a kickboxing fight,pair young papers pair backlash talk,0.23103794,0.36141807542127724
Two women are sparring in a kickboxing match,pair papers pair backlash pair,0.14687856,0.3104358990987142
Two young women are not sparring in a kickboxing fight,pair young papers pair backlash talk,0.19833212,0.3858115573724111
Kids in red shirts are playing in the leaves,funds red attire talking papers,0.4353279,0.45272594690322876
Children in red shirts are playing in the leaves,first red attire talking papers,0.4250756,0.4640192261763981
Children in red shirts are sleeping in the leaves,first red attire wake papers,0.26582628,0.46889205489839825
