OG_sentences,gen_sentences,cosine_similarity_BERT,jaccard_similarity_BERT
A group of kids is playing in a yard and an old man is standing in the background,group young performing porch elder man standing context,0.6288467,0.5201266568440658
A group of boys in a yard is playing and a man is standing in the background,group guy porch performing man standing context,0.61865336,0.5401921023925146
A group of children is playing in the house and there is no man standing in the background,group young performing house man standing context,0.45438516,0.5471476316452026
The young boys are playing outdoors and the man is smiling nearby,young guy performing exit man grimace neighborhood,0.51647735,0.4698587626218796
The kids are playing outdoors near a man with a smile,young performing exit proximity man grimace,0.480138,0.45558492673767936
There is no boy playing outdoors and there is no man smiling,boy performing exit man grimace,0.32969195,0.4961114724477132
A brown dog is attacking another animal in front of the tall man in pants,brown dog aggressor addition pet front elevation man underpants,0.68711704,0.45810912935822096
A brown dog is attacking another animal in front of the man in pants,brown dog aggressor addition pet front man underpants,0.6550951,0.45516520023345947
A brown dog is helping another animal in front of the man in pants,brown dog helping addition pet front man underpants,0.8434943,0.5176160594691401
Two dogs are fighting,double dog fighting,0.88101166,0.46883240767887663
Two dogs are wrestling and hugging,double dog fighting embracing,0.86301184,0.5310402783480558
There is no dog wrestling and hugging,dog fighting embracing,0.26576585,0.5587319352410056
A person in a black jacket is doing tricks on a motorbike,man blacken jacket manipulate bike,0.7992622,0.5831897948917589
A man in a black jacket is doing tricks on a motorbike,man blacken jacket manipulate bike,0.85505915,0.5831570468450847
There is no man in a black jacket doing tricks on a motorbike,man blacken jacket manipulate bike,0.4530244,0.5771890610456467
A person on a black motorbike is doing tricks with a jacket,man blacken bike manipulate jacket,0.7845982,0.58129095090063
A skilled person is riding a bicycle on one wheel,savvy man ride bicycle os bike,0.7976202,0.5009470023214817
A person is riding the bicycle on one wheel,man ride bicycle os bike,0.8174202,0.5106025040149689
Nobody is riding the bicycle on one wheel,man ride bicycle os bike,0.5443232,0.4596875034845792
A man with a jersey is dunking the ball at a basketball game,man shirt drubbing ballgame ballgame ballgame,0.56805634,0.4396062898635864
The ball is being dunked by a man with a jersey at a basketball game,ballgame being fell man shirt ballgame ballgame,0.47238612,0.49088387993665844
There is no man dunking the ball at a basketball game,man drubbing ballgame ballgame ballgame,0.3752162,0.40568783608349884
The game of basketball consists of a ball being dunked by a man with a jersey,ballgame ballgame comprise ballgame being fell man shirt,0.49051762,0.47338467836380005
A man who is playing dunks the basketball into the net and a crowd is in background,man performing kick ballgame clear crowd context,0.59617376,0.5689477003537692
The player is dunking the basketball into the net and a crowd is in background,player drubbing ballgame clear crowd context,0.45765144,0.5218402719497681
The player is missing the basket and a crowd is in background,player lack cupboard crowd context,0.7477647,0.5720239679018656
Two people are kickboxing and spectators are watching,double human kickoff audience observation,0.28277326,0.47543004527688026
Two people are fighting and spectators are watching,double human fighting audience observation,0.6622553,0.5113031268119812
Two people are kickboxing and spectators are not watching,double human kickoff audience observation,0.21573734,0.4879443925969741
Two spectators are kickboxing and some people are watching,double audience kickoff human observation,0.36979088,0.48101738621206847
Two young women are sparring in a kickboxing fight,double young female fighting kickoff fight,0.80498147,0.482809866175932
Two women are sparring in a kickboxing match,double female fighting kickoff correspond,0.669953,0.46216195027033485
Two young women are not sparring in a kickboxing fight,double young female fighting kickoff fight,0.4833188,0.4986138807402717
Kids in red shirts are playing in the leaves,youth pink shirt performing papers,0.4954725,0.48107075691223145
Children in red shirts are playing in the leaves,youth pink shirt performing papers,0.4963408,0.4846866045679365
Children in red shirts are sleeping in the leaves,youth pink shirt waken papers,0.26180938,0.45597245295842487
Children covered by leaves are playing with red shirts,youth enclose papers performing pink shirt,0.5367571,0.4218471751493566
Three boys are jumping in the leaves,triteness guy jumping papers,0.660601,0.41303443908691406
Three kids are jumping in the leaves,triteness young jumping papers,0.66196024,0.39263349771499634
Three kids are sitting in the leaves,triteness young seat papers,0.5181705,0.36155784588593703
Two children are lying in the snow and are drawing angels,double young falsehood rain picturing spirits,0.2536636,0.4082815207933125
Two children are lying in the snow and are making snow angels,double young falsehood rain fabricate rain spirits,0.24014743,0.40859750622794744
There is no child lying in the snow and making snow angels,young falsehood rain fabricate rain spirits,0.27061406,0.43628318309783937
Two angels are making snow on the lying children,double spirits fabricate rain falsehood young,0.3656184,0.41957662035437193
Two people wearing snowsuits are on the ground making snow angels,double human wear hosiery landmass fabricate rain spirits,0.31537664,0.40176313161849975
Two people in snowsuits are lying in the snow and making snow angels,double human hosiery falsehood rain fabricate rain spirits,0.24715903,0.41922170144540294
Nobody in snowsuits is lying in the snow and making snow angels,man hosiery falsehood rain fabricate rain spirits,0.29341018,0.4205768370628357
A little girl is looking at a woman in costume,bit female looking female attire,0.7166977,0.5564728220303853
A young girl is looking at a woman in costume,young female looking female attire,0.77036524,0.5791184067726135
The little girl is looking at a man in costume,bit female looking man attire,0.55076045,0.5609832366307577
A little girl in costume looks like a woman,bit female attire appear favourite female,0.7329587,0.4730581005414327
People wearing costumes are gathering in a forest and are looking in the same direction,human wear attire gathering woods looking direction,0.79582804,0.5662473711100492
Masked people are looking in the same direction in a forest,concealing human looking direction woods,0.76256424,0.5239771290829307
People wearing costumes are scattering in a forest and are looking in different directions,human wear attire drubbing woods looking differ direction,0.73458,0.5197552418708802
People are looking at some costumes gathered in the vicinity of the forest,human looking attire gathering vicinity woods,0.7172711,0.5665012739953541
A lone biker is jumping in the air,solo bike jumping wind,0.86710924,0.5487669110298157
"A biker is jumping in the air, alone",bike jumping wind solo,0.82140076,0.5737644388125493
There is no biker jumping in the air,bike jumping wind,0.38360128,0.5526756264946677
A man is jumping into an empty swimming pool,man jumping void swimming swimming,0.87059236,0.5320945722716195
A man is jumping into an empty pool,man jumping void swimming,0.85267913,0.5629669030507406
A man is jumping into a full pool,man jumping whole swimming,0.8736843,0.5748403271039327
The man's jumper is in the empty pool,man jumping void swimming,0.71345294,0.6029417727674756
Four kids are doing backbends in the park,number young afters paseo,0.21649587,0.37354710896809895
Four children are doing backbends in the park,number young afters paseo,0.21386358,0.3794575889905294
Four children are doing backbends in the gym,number young afters stadium,0.20523246,0.4106591780980428
Four girls are doing backbends and playing in the garden,number female afters performing grassland,0.70565474,0.42117525715576976
Four girls are doing backbends and playing outdoors,number female afters performing exit,0.4409894,0.41593992710113525
